Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.3CB350.I47PA23Rot1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.3,1,300,400,350,FALSE,FALSE,TRUE,0.155,51898000,25.336,2679700,178.46,15016,63.80719888
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.1CB400.I47PA23Rot-1Rout400.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.1,-1,100,400,400,FALSE,TRUE,FALSE,0.13198,48244000,23.552,3130400,206.68,15146,64.35960537
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.1CB500.I47PA23Rot-1Rout600.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.1,-1,300,600,500,FALSE,FALSE,TRUE,0.11208,63042000,30.776,2146900,141.44,15179,64.49983163
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.9CB350.I47PA23Rot-1Rout500.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.9,-1,200,500,350,FALSE,FALSE,TRUE,0.11906,54188000,26.454,2587900,168.19,15387,65.38368202
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.7CB350.I47PA23Rot-1Rout600.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.7,-1,300,600,350,FALSE,FALSE,TRUE,0.10696,58501000,28.56,2022500,130.71,15473,65.74912016
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.3CB300.I47PA23Rot-1Rout600.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.3,-1,300,600,300,TRUE,FALSE,FALSE,0.11063,62610000,30.566,2479400,158.67,15626,66.3992601
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M1.1CB350.I47PA23Rot-1Rout500.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,1.1,-1,200,500,350,FALSE,FALSE,TRUE,0.12451,58659000,28.637,2491300,159.12,15657,66.53098781
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.7CB500.I47PA23Rot1Rout500.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.7,1,300,500,500,FALSE,TRUE,FALSE,0.11279,40927000,19.98,2545700,162.59,15657,66.53098781
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.5CB350.I47PA23Rot-1Rout600.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.5,-1,300,600,350,FALSE,FALSE,TRUE,0.10969,61315000,29.934,2325800,148.24,15689,66.66696479
HH211-Vsys8.94_LineC18O_21_Pix0.054as-0.041666788224843kmps_D300M0.3CB200.I47PA23Rot1Rout300.Rin100._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.29_Beam0.553x0.395PA-10.91.fits,0.3,1,100,300,200,FALSE,FALSE,TRUE,0.11131,19908000,9.7188,2613900,166.61,15689,66.66696479
